vehicle_count,ttl_seconds,seed,interactions,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,bytes_total,cache_entries_final,cache_entries_peak,messages_per_interaction,bytes_per_interaction,queries_per_interaction
40,10.0,1005.5,480.0,114.6,365.4,0.23875000000000002,365.4,114.6,0.0,446.8,33.2,10.1,0.6,0.00125,12.941781246826285,23.548620671123565,742.1,521766.4,117.9,117.9,1.5460416666666668,1087.0133333333333,0.76125
40,30.0,1005.5,480.0,220.2,259.8,0.45875000000000005,259.8,220.2,0.0,451.7,28.3,9.0,2.5,0.005208333333333333,9.288792510329,22.59520722040921,528.7,371622.4,118.1,118.1,1.1014583333333334,774.2133333333334,0.54125
60,0.0,1005.5,720.0,0.0,720.0,0.0,720.0,0.0,0.1,673.7,46.3,13.6,0.0,0.0,16.92831169294011,24.129242308120045,1465.2,1030156.8,176.3,176.3,2.035,1430.7733333333333,1.0
60,1.0,1005.5,720.0,14.6,705.4,0.020277777777777777,705.4,14.6,0.1,673.7,46.3,12.9,0.0,0.0,16.585771831508076,24.100819366346194,1435.8,1009459.2,177.7,177.7,1.9941666666666666,1402.0266666666666,0.9797222222222223
60,2.0,1005.5,720.0,30.0,690.0,0.04166666666666667,690.0,30.0,0.1,672.6,47.4,13.0,0.0,0.0,16.20872333170347,24.00723561079471,1404.1,987187.2,175.9,175.9,1.950138888888889,1371.0933333333332,0.9583333333333334
60,5.0,1005.5,720.0,67.3,652.7,0.09347222222222222,652.7,67.3,0.1,670.1,49.9,14.9,0.0,0.0,15.369142247799724,23.911276113191835,1328.3,933913.6,176.5,176.5,1.8448611111111113,1297.1022222222223,0.9065277777777778
60,10.0,1005.5,720.0,123.8,596.2,0.17194444444444446,596.2,123.8,0.1,670.6,49.4,14.3,0.3,0.00041666666666666664,14.054306799507472,23.700916079734093,1212.5,852480.0,177.3,177.3,1.684027777777778,1184.0,0.8280555555555555
60,30.0,1005.5,720.0,268.9,451.1,0.3734722222222222,451.1,268.9,0.0,672.4,47.6,15.2,2.1,0.002916666666666667,10.660887220417083,22.981495805093306,916.3,643955.2,175.8,175.8,1.2726388888888889,894.3822222222223,0.6265277777777778
80,0.0,1005.5,960.0,0.0,960.0,0.0,960.0,0.0,0.1,892.6,67.4,18.7,0.0,0.0,16.899409968732098,24.155411032317375,1954.7,1374451.2,235.7,235.7,2.0361458333333333,1431.72,1.0
80,1.0,1005.5,960.0,16.2,943.8,0.016875,943.8,16.2,0.1,893.3,66.7,21.1,0.0,0.0,16.63506750617459,24.136984468767885,1921.5,1351168.0,234.6,234.6,2.0015625,1407.4666666666667,0.983125
80,2.0,1005.5,960.0,31.3,928.7,0.03260416666666667,928.7,31.3,0.1,894.6,65.4,19.9,0.0,0.0,16.368474789050847,24.087913432577757,1890.8,1329510.4,235.2,235.2,1.9695833333333332,1384.9066666666668,0.9673958333333333
80,5.0,1005.5,960.0,67.4,892.6,0.07020833333333333,892.6,67.4,0.1,895.3,64.7,19.2,0.0,0.0,15.742905515301377,24.00001883777957,1817.0,1277734.4,234.5,234.5,1.8927083333333332,1330.9733333333334,0.9297916666666666
80,10.0,1005.5,960.0,135.7,824.3,0.14135416666666667,824.3,135.7,0.1,895.9,64.1,19.3,0.5,0.0005208333333333333,14.561883625387651,23.813158942802875,1677.7,1179532.8,235.5,235.5,1.7476041666666666,1228.6799999999998,0.8586458333333333
80,30.0,1005.5,960.0,303.2,656.8,0.3158333333333333,656.8,303.2,0.1,893.2,66.8,21.0,1.1,0.0011458333333333333,11.659210871881957,23.28929059077932,1336.7,939737.6,236.5,236.5,1.3923958333333333,978.8933333333332,0.6841666666666667
100,0.0,1005.5,1200.0,0.0,1200.0,0.0,1200.0,0.0,0.1,1115.6,84.4,23.2,0.0,0.0,16.909695740476884,24.220409386966985,2444.7,1719142.4,294.7,294.7,2.03725,1432.6186666666667,1.0
100,1.0,1005.5,1200.0,14.9,1185.1,0.012416666666666668,1185.1,14.9,0.1,1113.4,86.6,24.3,0.0,0.0,16.697629922156583,24.206027234368094,2414.1,1697689.6,296.0,296.0,2.01175,1414.7413333333334,0.9875833333333333
100,2.0,1005.5,1200.0,30.3,1169.7,0.02525,1169.7,30.3,0.1,1121.6,78.4,23.6,0.0,0.0,16.486909994587887,24.182376616608018,2382.8,1675699.2,295.0,295.0,1.9856666666666665,1396.416,0.97475
100,5.0,1005.5,1200.0,69.8,1130.2,0.058166666666666665,1130.2,69.8,0.1,1120.0,80.0,24.4,0.0,0.0,15.939081386784476,24.068971267164315,2302.4,1619008.0,294.5,294.5,1.9186666666666667,1349.1733333333334,0.9418333333333333
100,10.0,1005.5,1200.0,136.2,1063.8,0.1135,1063.8,136.2,0.1,1116.7,83.3,24.4,0.4,0.0003333333333333334,15.018081873552877,23.94491495140823,2166.8,1523814.4,294.4,294.4,1.8056666666666665,1269.8453333333332,0.8865000000000001
100,30.0,1005.5,1200.0,327.1,872.9,0.27258333333333334,872.9,327.1,0.1,1119.5,80.5,23.1,1.9,0.0015833333333333335,12.365499280278796,23.410720223302025,1776.7,1249408.0,295.0,295.0,1.4805833333333334,1041.1733333333334,0.7274166666666667
